District;cases;pop;dens_pop;gdp;share_industry;dens_doc;houshold_house;household_size;share_male;share_5_14;share_20_39;share_60
2008;1903;14919;120.5616675;2573;0.612;0.048486494;1.31;4.1;0.493;0.194;0.287;0.099
2101;2576;21133;99.67051615;2098;0.628;0.051879794;1.49;4.4;0.491;0.216;0.306;0.086
2102;441;6289;17.51632494;1401;0.225;0.013926161;1.17;4;0.409;0.2;0.249;0.158
2103;1879;9932;20.21651949;1962;0.492;0.014248453;1.23;4;0.473;0.21;0.279;0.132
2104;1928;25722;46.69067455;2269;0.539;0.043564893;1.13;3.6;0.436;0.188;0.277;0.137
2105;3815;52159;172.9337567;2317;0.694;0.152513522;1.45;3.9;0.475;0.201;0.305;0.103
2106;4162;27141;265.1816779;2995;0.778;0.195410396;1.76;4.1;0.475;0.202;0.308;0.096
2107;1589;6225;37.20038007;1974;0.546;0.011951929;1.3;4.2;0.486;0.225;0.29;0.092
2108;457;4437;7.998671755;1456;0.188;0.003605441;1.04;3.3;0.375;0.163;0.247;0.229
2201;3241;23482;54.11205034;2241;0.669;0.048392516;1.41;3.9;0.513;0.209;0.307;0.093
2202;1376;7912;51.64817877;1976;0.492;0.039166971;1.34;4.1;0.516;0.213;0.255;0.124
2203;592;5073;84.8941041;2249;0.509;0.050203491;1.28;4.2;0.495;0.216;0.253;0.123
2204;2372;11734;59.14323459;2241;0.473;0.025201651;1.26;4.3;0.53;0.201;0.278;0.11
2205;2334;9646;73.31514262;1632;0.351;0.015201149;1.21;4.7;0.522;0.219;0.267;0.114
2206;1928;12101;100.9348632;2280;0.738;0.050046209;1.62;3.9;0.506;0.215;0.273;0.103
2207;15861;82425;976.3010833;2958;0.954;1.196316766;3.43;3.9;0.472;0.166;0.37;0.068
2208;932;9946;126.4265249;1794;0.453;0.063556467;1.29;3.9;0.496;0.207;0.276;0.107
2209;4634;17282;160.5426606;2226;0.666;0.04644794;1.6;4.1;0.499;0.21;0.286;0.096
2210;1715;10715;86.56878967;2216;0.515;0.03231686;1.37;4.4;0.514;0.222;0.268;0.103
2211;2654;14747;63.54282602;2577;0.699;0.051706375;1.58;3.7;0.497;0.198;0.29;0.112
2212;2198;18476;88.04807856;2601;0.739;0.042889841;1.68;4.1;0.521;0.203;0.304;0.097
2213;1135;6363;83.22194349;1743;0.404;0.026158084;1.17;4.6;0.512;0.236;0.269;0.103
2214;995;12371;115.1997348;2644;0.599;0.055872477;1.47;4.3;0.507;0.221;0.278;0.091
2215;276;5338;28.71391463;1929;0.585;0.021516609;1.25;4;0.499;0.209;0.306;0.089
2216;1020;6387;39.20839196;2226;0.545;0.012277561;1.43;4.2;0.515;0.211;0.281;0.095
2217;1453;6214;15.427708;2032;0.89;0.004965468;1.82;3.7;0.503;0.201;0.286;0.107
2218;6809;39360;404.742979;2946;0.907;0.42160727;2.59;3.9;0.463;0.164;0.374;0.07
2219;2938;17917;113.9456734;2470;0.668;0.044517481;1.58;4.1;0.503;0.217;0.278;0.099
2301;820;9885;19.74416279;1974;0.609;0.005992159;1.88;4.7;0.54;0.205;0.327;0.071
2302;466;9755;42.06046704;1381;0.244;0.004311683;1.48;4.5;0.517;0.222;0.27;0.096
2303;643;9162;14.44214496;1257;0.261;0.003152618;1.29;4.2;0.507;0.188;0.26;0.152
2304;997;4059;7.079324361;1619;0.174;0.003488211;1.35;4.3;0.498;0.202;0.253;0.144
2305;439;7655;16.17474044;1264;0.171;0;1.68;4.7;0.509;0.222;0.261;0.102
2306;176;7448;22.17478422;1676;0.296;0.005954561;1.48;4.1;0.536;0.197;0.309;0.097
2307;1070;14648;55.51807521;1812;0.437;0.015160589;1.5;4.3;0.521;0.209;0.286;0.095
2308;980;12917;50.29036583;2151;0.626;0.019466736;1.53;4.1;0.51;0.216;0.301;0.088
2309;279;7590;68.95104476;1526;0.225;0.018168918;1.48;4.6;0.595;0.177;0.348;0.077
2310;961;7949;41.59208364;2190;0.62;0.010464734;1.31;4.1;0.518;0.211;0.279;0.11
2311;807;15480;37.07044798;1787;0.415;0.014368391;1.5;4.5;0.509;0.224;0.292;0.076
2312;1223;12119;95.47511455;2243;0.564;0.063025078;1.95;4.6;0.495;0.129;0.579;0.05
2313;1063;9607;11.53350611;1504;0.329;0.003601594;1.54;4.7;0.51;0.216;0.284;0.095
2401;2437;16012;154.1714488;2176;0.82;0.144427413;1.72;3.8;0.476;0.189;0.275;0.111
2402;4008;39532;423.8892904;2779;0.961;0.23589913;3.83;3.8;0.469;0.198;0.327;0.072
2403;3142;18194;126.5881793;2469;0.893;0.069576882;2.63;3.8;0.478;0.219;0.303;0.078
2404;4343;30933;401.021059;2990;0.937;0.388925477;2.45;4;0.455;0.173;0.314;0.08
2405;2613;9700;75.71694975;2406;0.772;0.023417613;1.8;4.1;0.492;0.231;0.273;0.089
2406;1684;17321;104.2153644;2130;0.88;0.048133648;2.28;3.9;0.492;0.2;0.313;0.086
2500;21824;167781;682.1597069;3280;0.953;0.971720099;3.73;3.4;0.437;0.147;0.371;0.091
